account,date,fraud,merchant
A0,01/01/2015,FALSE,M98
A0,01/01/2015,FALSE,M50
A0,01/01/2015,FALSE,M55
A0,01/01/2015,FALSE,M14
A0,01/01/2015,FALSE,M10
A0,01/01/2015,FALSE,M33
A0,01/01/2015,FALSE,M82
A1,01/01/2015,FALSE,M42
A1,01/01/2015,FALSE,M98
A1,01/01/2015,FALSE,M22
A1,01/01/2015,FALSE,M44
A2,01/01/2015,FALSE,M52
A2,01/01/2015,FALSE,M26
A2,01/01/2015,FALSE,M59
A2,01/01/2015,FALSE,M48
A3,01/01/2015,FALSE,M83
A3,01/01/2015,FALSE,M23
A3,01/01/2015,TRUE,M50
A4,01/01/2015,FALSE,M72
A4,01/01/2015,FALSE,M21
A5,01/01/2015,FALSE,M85
A5,01/01/2015,FALSE,M57
A5,01/01/2015,FALSE,M49
A5,01/01/2015,FALSE,M70
A6,01/01/2015,FALSE,M6
A6,01/01/2015,FALSE,M91
A6,01/01/2015,FALSE,M64
A6,01/01/2015,FALSE,M88
A7,01/01/2015,FALSE,M67
A7,01/01/2015,FALSE,M69
A8,01/01/2015,FALSE,M46
A8,01/01/2015,FALSE,M51
A10,01/01/2015,FALSE,M12
A10,01/01/2015,FALSE,M83
A11,01/01/2015,FALSE,M30
A11,01/01/2015,FALSE,M90
A11,01/01/2015,FALSE,M98
A11,01/01/2015,FALSE,M63
A11,01/01/2015,FALSE,M32
A12,01/01/2015,FALSE,M86
A12,01/01/2015,FALSE,M41
A12,01/01/2015,FALSE,M96
A12,01/01/2015,FALSE,M89
A13,01/01/2015,FALSE,M6
A13,01/01/2015,FALSE,M28
A14,01/01/2015,FALSE,M67
A14,01/01/2015,FALSE,M83
A15,01/01/2015,FALSE,M93
A15,01/01/2015,FALSE,M42
A15,01/01/2015,FALSE,M88
A15,01/01/2015,FALSE,M24
A16,01/01/2015,FALSE,M15
A16,01/01/2015,FALSE,M26
A17,01/01/2015,FALSE,M92
A18,01/01/2015,FALSE,M51
A18,01/01/2015,FALSE,M19
A18,01/01/2015,FALSE,M84
A18,01/01/2015,FALSE,M69
A19,01/01/2015,FALSE,M56
A19,01/01/2015,FALSE,M60
A20,01/01/2015,FALSE,M6
A20,01/01/2015,FALSE,M31
A20,01/01/2015,FALSE,M4
A20,01/01/2015,FALSE,M82
A21,01/01/2015,FALSE,M32
A21,01/01/2015,FALSE,M93
A21,01/01/2015,FALSE,M69
A22,01/01/2015,FALSE,M57
A22,01/01/2015,FALSE,M58
A22,01/01/2015,FALSE,M77
A23,01/01/2015,FALSE,M32
A23,01/01/2015,FALSE,M26
A23,01/01/2015,FALSE,M9
A23,01/01/2015,FALSE,M76
A24,01/01/2015,FALSE,M51
A24,01/01/2015,FALSE,M90
A24,01/01/2015,FALSE,M29
A24,01/01/2015,FALSE,M49
A24,01/01/2015,FALSE,M0
A24,01/01/2015,FALSE,M38
A24,01/01/2015,FALSE,M3
A24,01/01/2015,FALSE,M71
A25,01/01/2015,FALSE,M51
A26,01/01/2015,TRUE,M10
A26,01/01/2015,FALSE,M82
A26,01/01/2015,FALSE,M80
A27,01/01/2015,FALSE,M11
A27,01/01/2015,FALSE,M45
A27,01/01/2015,FALSE,M56
A27,01/01/2015,FALSE,M98
A27,01/01/2015,FALSE,M10
A28,01/01/2015,FALSE,M79
A28,01/01/2015,FALSE,M70
A29,01/01/2015,FALSE,M89
A29,01/01/2015,TRUE,M94
A29,01/01/2015,FALSE,M40
